,Start date,Sleep quality,Drank coffee,Drank tea,Worked out,Stressful day,Sleep cycle,Sleep cycle offset,Start time
0,2014-12-29,100,False,False,False,False,5,62,3
1,2014-12-30,98,False,False,False,False,5,60,3
2,2014-12-31,65,False,False,False,False,5,2,3
3,2015-01-03,83,True,True,False,False,4,72,5
4,2015-01-04,78,False,True,False,False,4,74,4
5,2015-01-04,78,True,False,False,False,4,78,2
6,2015-01-05,69,True,True,True,False,4,87,2
7,2015-01-06,74,False,True,True,False,5,5,1
8,2015-01-07,81,True,True,False,True,6,19,1
9,2015-01-08,88,True,True,False,False,4,76,3
10,2015-01-09,77,True,True,False,False,6,1,2
11,2015-01-10,89,True,True,False,False,5,80,3
12,2015-01-11,78,False,True,False,False,5,38,2
13,2015-01-12,100,False,True,True,False,6,11,1
14,2015-01-13,100,True,True,False,False,5,36,2
15,2015-01-14,88,True,True,True,False,4,73,2
16,2015-01-15,87,False,True,False,False,4,82,2
17,2015-01-17,93,True,True,False,False,5,21,4
18,2015-01-18,58,True,False,False,False,4,72,2
19,2015-01-19,75,True,True,True,False,5,30,2
20,2015-01-20,80,True,True,True,False,5,32,2
21,2015-01-21,87,True,True,True,False,5,12,3
22,2015-01-25,87,True,False,False,False,6,19,1
23,2015-01-26,83,True,True,False,True,5,5,3
24,2015-01-28,76,True,True,False,True,5,7,2
25,2015-01-29,67,True,True,True,False,4,65,2
26,2015-01-31,93,True,True,False,True,5,33,4
27,2015-02-01,64,True,True,False,False,4,73,2
28,2015-02-02,75,False,True,False,False,5,19,3
29,2015-02-03,72,True,True,False,False,5,2,3
30,2015-02-04,70,False,True,True,False,4,67,3
31,2015-02-08,89,True,True,False,False,5,47,3
32,2015-02-09,85,True,False,False,False,5,47,2
33,2015-02-10,59,True,False,False,False,5,30,2
34,2015-02-11,67,True,True,True,False,5,6,2
35,2015-02-15,74,True,False,False,False,4,64,2
36,2015-02-19,77,True,True,False,True,5,10,3
37,2015-02-21,72,True,True,True,False,4,60,5
38,2015-02-21,92,True,True,False,False,5,85,3
39,2015-02-22,87,True,False,False,False,5,32,2
40,2015-02-24,69,True,True,False,False,5,19,3
41,2015-02-26,90,False,True,True,False,5,24,2
42,2015-03-03,61,True,True,True,False,5,13,2
43,2015-03-04,54,True,True,True,True,6,19,1
44,2015-03-05,86,True,True,False,False,5,20,2
45,2015-03-08,69,True,False,False,False,4,85,3
46,2015-03-09,99,True,True,False,False,5,80,1
47,2015-03-10,82,True,True,False,False,5,31,2
48,2015-03-11,77,True,True,False,False,5,10,2
49,2015-03-12,72,True,True,True,False,5,6,2
50,2015-03-15,82,False,False,False,False,4,60,2
51,2015-03-16,75,True,True,False,False,5,2,2
52,2015-03-17,91,True,True,True,False,5,33,4
53,2015-03-22,75,True,True,False,False,5,52,3
54,2015-03-24,84,True,False,False,False,5,37,2
55,2015-03-25,76,True,True,True,False,4,82,2
56,2015-03-26,92,False,True,True,False,5,33,1
57,2015-03-31,84,True,True,True,False,5,2,2
58,2015-04-04,95,True,True,False,False,5,47,3
59,2015-04-06,79,True,True,False,False,5,83,1
