,Start,End,Sleep quality,Time in bed,Start day,Start time,End time,Drank coffee,Drank tea,Worked out,Stressful day,Ate late,Sleep cycle,Previous day time in bed
0,2014-12-29 22:57:49,2014-12-29 22:57:49,100,512,Mon,22,22,False,False,False,False,False,5,464
1,2014-12-30 21:17:50,2014-12-30 21:17:50,3,16,Tue,21,21,False,False,False,True,False,0,512
2,2014-12-30 22:42:49,2014-12-30 22:42:49,98,510,Tue,22,22,False,False,False,False,False,5,16
3,2014-12-31 22:31:01,2014-12-31 22:31:01,65,452,Wed,22,22,False,False,False,False,False,5,510
4,2015-01-01 22:12:10,2015-01-01 22:12:10,72,404,Thur,22,22,True,True,False,False,False,4,452
5,2015-01-03 00:34:57,2015-01-03 00:34:57,83,432,Sat,0,0,True,True,False,False,False,4,404
6,2015-01-04 00:23:06,2015-01-04 00:23:06,78,434,Sun,0,0,False,True,False,False,False,4,432
7,2015-01-04 21:34:44,2015-01-04 21:34:44,78,438,Sun,21,21,True,False,False,False,True,4,434
8,2015-01-05 21:32:25,2015-01-05 21:32:25,69,447,Mon,21,21,True,True,True,False,False,4,438
9,2015-01-06 21:24:56,2015-01-06 21:24:56,74,455,Tue,21,21,False,True,True,False,False,5,447
10,2015-01-07 20:59:58,2015-01-07 20:59:58,81,559,Wed,20,20,True,True,False,True,False,6,455
11,2015-01-08 22:58:18,2015-01-08 22:58:18,88,436,Thur,22,22,True,True,False,False,False,4,559
12,2015-01-09 22:27:58,2015-01-09 22:27:58,77,541,Fri,22,22,True,True,False,False,False,6,436
13,2015-01-10 22:38:24,2015-01-10 22:38:24,89,530,Sat,22,22,True,True,False,False,False,5,541
14,2015-01-11 22:12:07,2015-01-11 22:12:07,78,488,Sun,22,22,False,True,False,False,False,5,530
15,2015-01-12 21:01:46,2015-01-12 21:01:46,100,551,Mon,21,21,False,True,True,False,False,6,488
16,2015-01-13 22:14:29,2015-01-13 22:14:29,100,486,Tue,22,22,True,True,False,False,False,5,551
17,2015-01-14 21:48:26,2015-01-14 21:48:26,88,433,Wed,21,21,True,True,True,False,False,4,486
